ID,回答日時,部署入力,回答者,回答本文,対応状況,添付,優先度,備考,内部コード
R7-2-001,2026/08/29 09:00,研究推進,担当001,確認中です,確認中,無,2,確認中です。,C0001
R7-2-002,2026/08/29 09:07,会計課,担当002,未対応です,未対応,無,2,今後対応します。,C0002
R7-2-003,2026/08/29 09:14,企画係,担当003,確認中です,確認中,無,2,確認中です。,C0003
R7-2-004,2026/08/29 09:21,総務G,担当004,対応済,対応済,無,1,対応済みです。,C0004
R7-2-005,2026/08/29 09:28,総務課,担当005,該当なし,該当なし,無,1,該当事項はありません。,C0005
R7-2-006,2026/08/29 09:35,国際課,担当006,対応予定です,対応予定,後送,2,資料は後送予定です。,C0006
R7-2-007,2026/08/29 09:42,企画係,担当007,完了しました,対応済,無,2,完了しました。,C0007
R7-2-008,2026/08/29 09:49,総務,担当008,対象外です,該当なし,無,1,対象外です。,C0008
R7-2-009,2026/08/29 09:56,研究推進,担当009,対象外です,該当なし,無,1,対象外です。,C0009
R7-2-010,2026/08/29 10:03,会計課,担当010,該当なし,該当なし,無,1,該当事項はありません。,C0010
R7-2-011,2026/08/29 10:10,研究推進課,担当011,完了しました,対応済,無,2,完了しました。,C0011
R7-2-012,2026/08/29 10:17,国際課,担当012,確認中です,確認中,無,4,至急確認します。,C0012
R7-2-013,2026/08/29 10:24,図書館情報課,担当013,確認中です,確認中,無,2,確認中です。,C0013
R7-2-014,2026/08/29 10:31,施設管理課,担当014,未対応です,未対応,無,2,今後対応します。,C0014
R7-2-015,2026/08/29 10:38,総務課,担当015,対象外です,該当なし,無,1,対象外です。,C0015
R7-2-016,2026/08/29 10:45,共通事務管理課,担当016,対応済,対応済,無,2,対応済みです。,C0016
R7-2-017,2026/08/29 10:52,研究推進,担当017,該当なし,該当なし,無,1,該当事項はありません。,C0017
R7-2-018,2026/08/29 10:59,共通事務,担当018,未対応です,未対応,無,2,,C0018
R7-2-019,2026/08/29 11:06,図書館情報課,担当019,対応予定です,対応予定,無,2,今月中に対応予定です。,C0019
R7-2-020,2026/08/29 11:20,情報社会基盤研究センター事務室,担当021,確認中です,確認中,無,3,確認中です。,C0020
R7-2-021,2026/08/29 11:27,研究推進課,担当022,対象外です,該当なし,無,2,対象外です。,C0021
R7-2-022,2026/08/29 11:34,会計課,担当023,完了しました,対応済,無,1,完了しました。,C0022
R7-2-023,2026/08/29 11:41,情報社会基盤研究センター事務室,担当024,対応済,対応済,無,1,対応済みです。,C0023
R7-2-024,2026/08/29 11:48,研究推進課,担当025,対応予定です,対応予定,不明,3,添付の扱いを確認中です。,C0024
R7-2-025,2026/08/29 11:55,会計課,担当026,対応予定です,対応予定,無,2,今月中に対応予定です。,C0025
R7-2-026,2026/08/29 12:02,総務,担当027,対象外です,該当なし,無,1,対象外です。,C0026
R7-2-027,2026/08/29 12:09,共通事務,担当028,該当なし,該当なし,無,2,該当事項はありません。,C0027
R7-2-028,2026/08/29 12:16,図書館,担当029,対象外です,該当なし,無,2,対象外です。,C0028
R7-2-029,2026/08/29 12:23,施設管理課,担当030,対応予定です,対応予定,無,3,今月中に対応予定です。,C0029
R7-2-030,2026/08/29 12:30,施設管理課,担当031,完了しました,対応済,無,2,完了しました。,C0030
